"""RockRed""","""Queens of the Stone Age""","""Third Eye Blind""","""Aerosmith""","""The White Stripes""","""Queens of the Stone Age""",,,,,,,,,,,,,,,,
"""RockOrange""","""The Struts""",,,,,,,,,,,,,,,,,,,,
"""RockYellow""",,,,,,,,,,,,,,,,,,,,,
"""RockGreen""","""Bishop Briggs""","""Donovan""","""ZZ Top""","""Motley Crue""","""Kid Rock""","""Aerosmith""","""The Offspring""","""The Doobie Brothers""","""Cream""","""Creedence Clearwater Revival""","""Anti-Flag""","""Weezer""",,,,,,,,,
"""RockBlue""","""Fall Out Boy""","""Nirvana""","""Weezer""","""The Beatles""","""The Smashing Pumpkins""","""The Who""","""AC/DC""","""The Killers""","""AWOLNATION""","""Led Zeppelin""","""The Killers""","""Green Day""",,,,,,,,,
"""RockPurple""",,,,,,,,,,,,,,,,,,,,,
"""RockPink""",,,,,,,,,,,,,,,,,,,,,
"""Brown""","""Led Zeppelin""","""Iron Maiden""","""Lit""","""The Doors""","""J. Roddy Walston & The Business""","""Pearl Jam""","""Jimi Hendrix""","""Jimi Hendrix""","""Ram Jam""","""Free""","""Royal Blood""","""David Bowie""","""The Rolling Stones""","""Blur""","""Stone Temple Pilots""","""Harvey Danger""","""Steppenwolf""","""Van Morrison""","""The Offspring""","""The Romantics""","""Green Day"""
"""Black""","""Tom Waits""","""The White Stripes""","""Van Halen""","""Mötley Crüe""","""Van Halen""","""Guns N' Roses""","""Alice Cooper""","""Franz Ferdinand""","""Cold War Kids""","""Boston""","""Stevie Nicks""","""Fall Out Boy""","""X Ambassadors""","""Guns N' Roses""","""Pink Floyd""","""ZZ Top""","""T. Rex""","""AC/DC""","""Creedence Clearwater Revival""","""Motley Crue""","""Ozzy Osbourne"""
"""White""","""Red Hot Chili Peppers""","""Queen""","""Golden Earring""","""Pink Floyd""","""Jet""","""The Black Keys""","""The Kinks""","""The Band""","""Dire Straits""","""Fleetwood Mac""","""Kings of Leon""","""Oasis""",,,,,,,,,
"""Beige""","""Van Morrison""","""Kansas""","""Lynyrd Skynyrd""","""The Mamas & The Papas""","""Derek & The Dominos""","""The Rolling Stones""","""Alien Ant Farm""","""Cage The Elephant""","""Big Brother & The Holding Company""",,,,,,,,,,,,
"""Gray""","""Seal""","""Led Zeppelin""","""Queen""","""Jane's Addiction""","""Steve Miller Band""","""Alabama Shakes""","""Green Day""","""Led Zeppelin""","""Creedence Clearwater Revival""","""The Doors""","""X Ambassadors""","""Nine Inch Nails""","""Whitesnake""","""Papa Roach""","""Red Hot Chili Peppers""","""Linkin Park""","""Violent Femmes""","""Buffalo Springfield""","""Weezer""","""3 Doors Down""","""Joe Walsh"""
